Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-10-04,Leganes,Albacete,3,2,H,2.0,3.4,3.75,2015,,,,,,,,,,,,,,,
2015-10-04,Llagostera,Elche,4,1,H,2.88,3.1,2.5,2015,,,,,,,,,,,,,,,
2015-10-04,Huesca,Valladolid,1,1,D,2.6,3.2,2.75,2015,,,,,,,,,,,,,,,
2015-10-10,Alaves,Osasuna,3,0,H,2.25,3.0,3.5,2015,,,,,,,,,,,,,,,
2015-10-10,Ath Bilbao B,Numancia,0,0,D,2.25,3.0,3.5,2015,,,,,,,,,,,,,,,
2015-10-10,Elche,Mirandes,1,4,A,1.75,3.4,5.0,2015,,,,,,,,,,,,,,,
2015-10-10,Ponferradina,Gimnastic,2,2,D,2.1,3.2,3.6,2015,,,,,,,,,,,,,,,
2015-10-10,Tenerife,Leganes,0,0,D,2.3,3.1,3.2,2015,,,,,,,,,,,,,,,
2015-10-11,Valladolid,Oviedo,2,3,A,2.0,3.3,3.75,2015,,,,,,,,,,,,,,,
2015-10-11,Lugo,Cordoba,1,2,A,2.38,3.2,3.0,2015,,,,,,,,,,,,,,,
2015-10-11,Mallorca,Llagostera,1,0,H,1.95,3.1,4.33,2015,,,,,,,,,,,,,,,
2015-10-11,Girona,Almeria,1,1,D,1.85,3.5,4.2,2015,,,,,,,,,,,,,,,
2015-10-11,Albacete,Zaragoza,1,3,A,2.15,3.1,3.6,2015,,,,,,,,,,,,,,,
2015-10-11,Alcorcon,Huesca,0,1,A,1.91,3.25,4.33,2015,,,,,,,,,,,,,,,
2015-10-17,Gimnastic,Ath Bilbao B,2,1,H,2.05,3.4,3.5,2015,,,,,,,,,,,,,,,
2015-10-17,Leganes,Girona,2,2,D,2.38,3.4,2.88,2015,,,,,,,,,,,,,,,
2015-10-17,Mirandes,Mallorca,2,2,D,2.05,3.3,3.6,2015,,,,,,,,,,,,,,,
2015-10-17,Osasuna,Albacete,1,0,H,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-10-17,Oviedo,Alcorcon,3,2,H,2.05,3.3,3.6,2015,,,,,,,,,,,,,,,
2015-10-18,Lugo,Alaves,1,0,H,2.25,3.3,3.2,2015,,,,,,,,,,,,,,,
2015-10-18,Llagostera,Valladolid,3,1,H,2.75,3.2,2.6,2015,,,,,,,,,,,,,,,
2015-10-18,Zaragoza,Tenerife,2,0,H,2.05,3.3,3.6,2015,,,,,,,,,,,,,,,
2015-10-18,Cordoba,Numancia,3,2,H,2.05,3.3,3.6,2015,,,,,,,,,,,,,,,
2015-10-18,Almeria,Elche,2,3,A,2.05,3.3,3.6,2015,,,,,,,,,,,,,,,
2015-10-18,Huesca,Ponferradina,1,1,D,2.0,3.3,3.8,2015,,,,,,,,,,,,,,,
2015-10-24,Alaves,Cordoba,3,2,H,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-10-24,Alcorcon,Llagostera,6,1,H,1.73,3.5,5.0,2015,,,,,,,,,,,,,,,
2015-10-24,Ath Bilbao B,Huesca,0,0,D,2.5,3.1,2.9,2015,,,,,,,,,,,,,,,
2015-10-24,Elche,Leganes,0,0,D,2.25,3.25,3.2,2015,,,,,,,,,,,,,,,
2015-10-24,Girona,Zaragoza,0,0,D,1.85,3.3,4.5,2015,,,,,,,,,,,,,,,
2015-10-25,Albacete,Lugo,2,0,H,1.91,3.0,4.75,2015,,,,,,,,,,,,,,,
2015-10-25,Mallorca,Almeria,1,0,H,2.3,3.0,3.4,2015,,,,,,,,,,,,,,,
2015-10-25,Numancia,Gimnastic,1,1,D,2.05,3.4,3.6,2015,,,,,,,,,,,,,,,
2015-10-25,Ponferradina,Oviedo,4,2,H,2.4,3.2,3.0,2015,,,,,,,,,,,,,,,
2015-10-25,Tenerife,Osasuna,2,2,D,2.3,3.1,3.25,2015,,,,,,,,,,,,,,,
2015-10-25,Valladolid,Mirandes,2,1,H,1.83,3.4,4.5,2015,,,,,,,,,,,,,,,
2015-10-31,Mirandes,Alcorcon,3,0,H,2.7,3.0,2.8,2015,,,,,,,,,,,,,,,
2015-10-31,Llagostera,Ponferradina,0,1,A,2.5,3.1,2.9,2015,,,,,,,,,,,,,,,
2015-10-31,Lugo,Tenerife,2,0,H,2.1,3.1,3.75,2015,,,,,,,,,,,,,,,
2015-10-31,Cordoba,Gimnastic,2,0,H,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-10-31,Huesca,Numancia,2,0,H,2.0,3.25,3.9,2015,,,,,,,,,,,,,,,
2015-11-01,Alaves,Albacete,1,1,D,2.0,3.2,3.9,2015,,,,,,,,,,,,,,,
2015-11-01,Almeria,Valladolid,1,1,D,2.5,3.0,3.0,2015,,,,,,,,,,,,,,,
2015-11-01,Leganes,Mallorca,0,0,D,1.75,3.4,5.0,2015,,,,,,,,,,,,,,,
2015-11-01,Osasuna,Girona,0,1,A,2.1,3.1,3.8,2015,,,,,,,,,,,,,,,
2015-11-01,Oviedo,Ath Bilbao B,0,0,D,1.85,3.3,4.5,2015,,,,,,,,,,,,,,,
2015-11-01,Zaragoza,Elche,2,0,H,1.95,3.3,4.0,2015,,,,,,,,,,,,,,,
2015-11-07,Valladolid,Leganes,1,1,D,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-11-07,Mallorca,Zaragoza,0,0,D,2.38,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-11-07,Ponferradina,Mirandes,2,2,D,2.1,3.2,3.6,2015,,,,,,,,,,,,,,,
2015-11-07,Tenerife,Alaves,2,0,H,2.38,3.2,3.0,2015,,,,,,,,,,,,,,,
2015-11-08,Numancia,Oviedo,1,0,H,2.25,3.2,3.2,2015,,,,,,,,,,,,,,,
2015-11-08,Girona,Lugo,0,1,A,1.73,3.5,5.0,2015,,,,,,,,,,,,,,,
2015-11-08,Gimnastic,Huesca,2,0,H,2.3,3.1,3.3,2015,,,,,,,,,,,,,,,
2015-11-08,Alcorcon,Almeria,0,0,D,1.7,3.4,5.5,2015,,,,,,,,,,,,,,,
2015-11-08,Albacete,Cordoba,2,0,H,2.1,3.25,3.6,2015,,,,,,,,,,,,,,,
2015-11-08,Elche,Osasuna,2,1,H,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-11-09,Ath Bilbao B,Llagostera,2,0,H,1.85,3.3,4.5,2015,,,,,,,,,,,,,,,
2015-11-14,Lugo,Elche,1,1,D,2.2,3.2,3.4,2015,,,,,,,,,,,,,,,
2015-11-14,Alaves,Girona,1,0,H,2.5,3.0,3.0,2015,,,,,,,,,,,,,,,
2015-11-14,Albacete,Tenerife,1,2,A,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-11-14,Leganes,Alcorcon,3,0,H,2.25,3.0,3.5,2015,,,,,,,,,,,,,,,
2015-11-14,Mirandes,Ath Bilbao B,3,0,H,2.1,3.1,3.8,2015,,,,,,,,,,,,,,,
2015-11-15,Zaragoza,Valladolid,0,2,A,2.1,3.1,3.75,2015,,,,,,,,,,,,,,,
2015-11-15,Oviedo,Gimnastic,2,0,H,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-11-15,Osasuna,Mallorca,2,1,H,2.1,3.2,3.6,2015,,,,,,,,,,,,,,,
2015-11-15,Llagostera,Numancia,2,1,H,2.75,3.0,2.75,2015,,,,,,,,,,,,,,,
2015-11-15,Cordoba,Huesca,1,1,D,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
