Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-09-23,Greuther Furth,Paderborn,3,0,H,1.91,3.4,4.0,2015,,,,,,,,,,,,,,,
2015-09-23,St Pauli,Heidenheim,1,0,H,2.25,3.25,3.2,2015,,,,,,,,,,,,,,,
2015-09-24,RB Leipzig,Freiburg,1,1,D,2.0,3.4,3.75,2015,,,,,,,,,,,,,,,
2015-09-25,Fortuna Dusseldorf,Sandhausen,0,1,A,1.75,3.6,4.75,2015,,,,,,,,,,,,,,,
2015-09-25,Nurnberg,Bielefeld,2,2,D,1.91,3.4,4.0,2015,,,,,,,,,,,,,,,
2015-09-25,Bochum,Kaiserslautern,1,2,A,2.1,3.4,3.4,2015,,,,,,,,,,,,,,,
2015-09-26,Union Berlin,Duisburg,3,2,H,1.57,4.0,5.5,2015,,,,,,,,,,,,,,,
2015-09-26,Paderborn,St Pauli,0,0,D,2.38,3.25,3.0,2015,,,,,,,,,,,,,,,
2015-09-27,Freiburg,Frankfurt FSV,2,0,H,1.53,4.0,6.0,2015,,,,,,,,,,,,,,,
2015-09-27,Heidenheim,Karlsruhe,1,1,D,2.2,3.25,3.3,2015,,,,,,,,,,,,,,,
2015-09-27,Munich 1860,RB Leipzig,2,2,D,3.5,3.3,2.1,2015,,,,,,,,,,,,,,,
2015-09-28,Braunschweig,Greuther Furth,0,1,A,2.1,3.4,3.4,2015,,,,,,,,,,,,,,,
2015-10-02,Bielefeld,Munich 1860,1,1,D,2.3,3.25,3.1,2015,,,,,,,,,,,,,,,
2015-10-02,Frankfurt FSV,Heidenheim,0,4,A,2.88,3.2,2.45,2015,,,,,,,,,,,,,,,
2015-10-02,Kaiserslautern,Fortuna Dusseldorf,3,0,H,2.05,3.4,3.5,2015,,,,,,,,,,,,,,,
2015-10-03,Greuther Furth,Bochum,0,5,A,2.2,3.3,3.25,2015,,,,,,,,,,,,,,,
2015-10-03,St Pauli,Sandhausen,1,3,A,2.0,3.4,3.75,2015,,,,,,,,,,,,,,,
2015-10-04,RB Leipzig,Nurnberg,3,2,H,1.67,3.75,5.0,2015,,,,,,,,,,,,,,,
2015-10-04,Braunschweig,Union Berlin,2,1,H,1.91,3.4,4.0,2015,,,,,,,,,,,,,,,
2015-10-04,Karlsruhe,Freiburg,1,1,D,2.9,3.25,2.4,2015,,,,,,,,,,,,,,,
2015-10-05,Duisburg,Paderborn,1,0,H,3.2,3.4,2.2,2015,,,,,,,,,,,,,,,
2015-10-16,Fortuna Dusseldorf,Bielefeld,1,0,H,1.95,3.5,3.75,2015,,,,,,,,,,,,,,,
2015-10-16,Paderborn,Braunschweig,2,0,H,2.5,3.1,2.9,2015,,,,,,,,,,,,,,,
2015-10-16,Sandhausen,Kaiserslautern,1,0,H,3.2,3.2,2.3,2015,,,,,,,,,,,,,,,
2015-10-17,Union Berlin,St Pauli,3,3,D,2.3,3.3,3.1,2015,,,,,,,,,,,,,,,
2015-10-17,Nurnberg,Frankfurt FSV,1,1,D,1.7,3.8,4.75,2015,,,,,,,,,,,,,,,
2015-10-18,Heidenheim,Duisburg,1,0,H,1.53,4.0,6.0,2015,,,,,,,,,,,,,,,
2015-10-18,Bochum,RB Leipzig,0,1,A,2.63,3.3,2.63,2015,,,,,,,,,,,,,,,
2015-10-18,Freiburg,Greuther Furth,5,2,H,1.85,3.8,3.8,2015,,,,,,,,,,,,,,,
2015-10-19,Munich 1860,Karlsruhe,0,1,A,2.4,3.3,2.9,2015,,,,,,,,,,,,,,,
2015-10-23,Frankfurt FSV,Bochum,3,2,H,4.0,3.6,1.85,2015,,,,,,,,,,,,,,,
2015-10-23,Greuther Furth,Munich 1860,1,0,H,2.0,3.5,3.6,2015,,,,,,,,,,,,,,,
2015-10-23,RB Leipzig,Fortuna Dusseldorf,2,1,H,1.57,3.8,6.0,2015,,,,,,,,,,,,,,,
2015-10-24,Duisburg,Nurnberg,0,0,D,3.75,3.4,2.0,2015,,,,,,,,,,,,,,,
2015-10-24,Karlsruhe,Kaiserslautern,2,0,H,2.6,3.25,2.7,2015,,,,,,,,,,,,,,,
2015-10-24,Union Berlin,Paderborn,0,2,A,2.15,3.3,3.4,2015,,,,,,,,,,,,,,,
2015-10-25,Bielefeld,Sandhausen,0,0,D,2.15,3.3,3.4,2015,,,,,,,,,,,,,,,
2015-10-25,Braunschweig,Heidenheim,1,0,H,2.15,3.2,3.5,2015,,,,,,,,,,,,,,,
2015-10-25,St Pauli,Freiburg,1,0,H,3.0,3.25,2.38,2015,,,,,,,,,,,,,,,
2015-10-30,Bochum,St Pauli,1,1,D,2.0,3.5,3.6,2015,,,,,,,,,,,,,,,
2015-10-30,Fortuna Dusseldorf,Greuther Furth,1,0,H,2.4,3.4,2.8,2015,,,,,,,,,,,,,,,
2015-10-30,Kaiserslautern,Bielefeld,0,2,A,1.91,3.3,4.2,2015,,,,,,,,,,,,,,,
2015-10-31,Paderborn,Frankfurt FSV,1,1,D,1.67,4.0,4.75,2015,,,,,,,,,,,,,,,
