Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-10-16,Avellino,Brescia,3,3,D,2.0,3.1,4.2,2015,,,,,,,,,,,,,,,
2015-10-17,Virtus Entella,Salernitana,1,0,H,2.3,3.0,3.4,2015,,,,,,,,,,,,,,,
2015-10-17,Crotone,Livorno,3,0,H,2.3,3.2,3.2,2015,,,,,,,,,,,,,,,
2015-10-17,Modena,Ascoli,2,1,H,1.91,3.2,4.33,2015,,,,,,,,,,,,,,,
2015-10-17,Novara,Cagliari,1,0,H,3.4,3.1,2.25,2015,,,,,,,,,,,,,,,
2015-10-17,Pro Vercelli,Vicenza,2,1,H,3.0,3.0,2.5,2015,,,,,,,,,,,,,,,
2015-10-17,Ternana,Bari,3,0,H,3.1,3.0,2.45,2015,,,,,,,,,,,,,,,
2015-10-17,Trapani,Pescara,0,3,A,2.7,3.0,2.8,2015,,,,,,,,,,,,,,,
2015-10-17,Virtus Lanciano,Como,1,0,H,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-10-18,Latina,Perugia,2,1,H,2.38,3.0,3.2,2015,,,,,,,,,,,,,,,
2015-10-19,Cesena,Spezia,5,1,H,2.4,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-10-23,Pescara,Pro Vercelli,1,0,H,1.67,3.4,5.75,2015,,,,,,,,,,,,,,,
2015-10-23,Vicenza,Novara,0,2,A,2.4,3.0,3.2,2015,,,,,,,,,,,,,,,
2015-10-24,Ternana,Perugia,0,1,A,2.5,3.0,3.0,2015,,,,,,,,,,,,,,,
2015-10-24,Spezia,Avellino,1,1,D,1.85,3.4,4.33,2015,,,,,,,,,,,,,,,
2015-10-24,Salernitana,Cesena,1,1,D,3.0,2.88,2.6,2015,,,,,,,,,,,,,,,
2015-10-24,Como,Latina,1,1,D,2.6,2.88,3.1,2015,,,,,,,,,,,,,,,
2015-10-24,Livorno,Modena,2,0,H,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-10-24,Brescia,Virtus Lanciano,2,1,H,2.3,3.2,3.1,2015,,,,,,,,,,,,,,,
2015-10-24,Bari,Virtus Entella,0,0,D,1.83,3.25,4.75,2015,,,,,,,,,,,,,,,
2015-10-24,Ascoli,Crotone,0,1,A,2.63,3.1,2.8,2015,,,,,,,,,,,,,,,
2015-10-24,Cagliari,Trapani,4,1,H,1.6,3.6,6.0,2015,,,,,,,,,,,,,,,
2015-10-27,Pro Vercelli,Bari,0,1,A,2.88,3.2,2.5,2015,,,,,,,,,,,,,,,
2015-10-27,Virtus Lanciano,Salernitana,2,2,D,1.95,3.2,4.2,2015,,,,,,,,,,,,,,,
2015-10-27,Virtus Entella,Livorno,0,0,D,3.0,3.0,2.5,2015,,,,,,,,,,,,,,,
2015-10-27,Trapani,Vicenza,1,2,A,2.38,3.0,3.25,2015,,,,,,,,,,,,,,,
2015-10-27,Perugia,Cagliari,0,0,D,3.1,3.0,2.45,2015,,,,,,,,,,,,,,,
2015-10-27,Avellino,Ascoli,3,0,H,1.7,3.3,5.5,2015,,,,,,,,,,,,,,,
2015-10-27,Latina,Ternana,1,2,A,2.05,3.1,4.0,2015,,,,,,,,,,,,,,,
2015-10-27,Crotone,Brescia,1,1,D,2.0,3.3,3.75,2015,,,,,,,,,,,,,,,
2015-10-27,Cesena,Como,3,1,H,1.73,3.25,5.5,2015,,,,,,,,,,,,,,,
2015-10-27,Modena,Spezia,1,1,D,2.7,3.1,2.7,2015,,,,,,,,,,,,,,,
2015-10-31,Pescara,Crotone,4,1,H,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-10-31,Ternana,Avellino,0,3,A,2.6,3.0,2.88,2015,,,,,,,,,,,,,,,
2015-10-31,Salernitana,Perugia,1,1,D,2.6,3.1,2.8,2015,,,,,,,,,,,,,,,
2015-10-31,Como,Modena,1,1,D,2.8,3.0,2.7,2015,,,,,,,,,,,,,,,
